# Frequency [Hz], Real(acoustic pressure), Imaginary(acoustic pressure)
0.000000000000000000e+00,1.166228691016145058e+04,0.000000000000000000e+00
2.000000000000000000e+00,3.466225173386798595e-04,-7.259650831959637054e-08
4.000000000000000000e+00,3.466224945263093231e-04,-1.451929762576279966e-07
6.000000000000000000e+00,3.466224563812526568e-04,-2.177892939774513741e-07
8.000000000000000000e+00,3.466224032697937411e-04,-2.903858249434658357e-07
1.000000000000000000e+01,3.466223350701814966e-04,-3.629820287036030416e-07
1.200000000000000000e+01,3.466222513286084132e-04,-4.355786829061496234e-07
1.400000000000000000e+01,3.466221524374002026e-04,-5.081748986413004597e-07
1.600000000000000000e+01,3.466220384616614707e-04,-5.807713502974820528e-07
1.800000000000000000e+01,3.466219091502959274e-04,-6.533677781893250654e-07
2.000000000000000000e+01,3.466217648542321145e-04,-7.259638784792817966e-07
2.200000000000000000e+01,3.466216051191622709e-04,-7.985602784174261755e-07
2.400000000000000000e+01,3.466214301598181122e-04,-8.711562977017214682e-07
2.600000000000000000e+01,3.466212402386494224e-04,-9.437526758726259743e-07
2.800000000000000000e+01,3.466210349285878275e-04,-1.016348795868301298e-06
3.000000000000000000e+01,2.255139157342411636e+04,-5.921338950890538399e+03
3.200000000000000000e+01,3.466205787964407462e-04,-1.161541056004648811e-06
3.400000000000000000e+01,3.466203278265180595e-04,-1.234137412659266013e-06
3.600000000000000000e+01,3.466200617956929236e-04,-1.306732931698206975e-06
3.800000000000000000e+01,3.466197805569665516e-04,-1.379328945593432277e-06
4.000000000000000000e+01,3.466194841961704591e-04,-1.451924853829944344e-06
4.200000000000000000e+01,3.466191722827109884e-04,-1.524520686749989914e-06
4.400000000000000000e+01,3.466188453494835906e-04,-1.597116060291094253e-06
4.600000000000000000e+01,3.466185034812817659e-04,-1.669712076900367913e-06
4.800000000000000000e+01,3.466181458430886170e-04,-1.742307600602544158e-06
5.000000000000000000e+01,3.466177735455931589e-04,-1.814902864226627257e-06
5.200000000000000000e+01,3.466173860860574576e-04,-1.887498359426474111e-06
5.400000000000000000e+01,3.466169830422586554e-04,-1.960093869517246787e-06
5.600000000000000000e+01,3.466165648051557188e-04,-2.032689001561974440e-06
5.800000000000000000e+01,3.466161320160818259e-04,-2.105284009285067986e-06
6.000000000000000000e+01,2.021442757058427742e+04,-1.151281284991491339e+04
6.200000000000000000e+01,3.466152192115317808e-04,-2.250474196919512586e-06
6.400000000000000000e+01,3.466147402706741586e-04,-2.323069068593130444e-06
6.600000000000000000e+01,3.466142462139639021e-04,-2.395664009479029726e-06
6.800000000000000000e+01,3.466137369355583764e-04,-2.468258698443709358e-06
7.000000000000000000e+01,3.466132122228248271e-04,-2.540853060446444888e-06
7.200000000000000000e+01,3.466126724202089177e-04,-2.613447541565013559e-06
7.400000000000000000e+01,3.466121176385323732e-04,-2.686041632877313978e-06
7.600000000000000000e+01,3.466115474511114944e-04,-2.758636142296718360e-06
7.800000000000000000e+01,3.466109618346914999e-04,-2.831230209267232852e-06
8.000000000000000000e+01,3.466103615320288863e-04,-2.903823983260534961e-06
8.200000000000000000e+01,3.466097455820911304e-04,-2.976417745868367900e-06
8.400000000000000000e+01,3.466091146961844090e-04,-3.049011813709512406e-06
8.600000000000000000e+01,3.466084686053339924e-04,-3.121604943052111304e-06
8.800000000000000000e+01,3.466078070626050838e-04,-3.194198671924722596e-06
9.000000000000000000e+01,1.632443396476535600e+04,-1.633882191636259813e+04
9.200000000000000000e+01,3.466064387268936900e-04,-3.339385697612032393e-06
9.400000000000000000e+01,3.466057316727077110e-04,-3.411978135363990487e-06
9.600000000000000000e+01,3.466050094665172978e-04,-3.484570970313742273e-06
9.800000000000000000e+01,3.466042721259691962e-04,-3.557163705280427579e-06
1.000000000000000000e+02,3.466035194649293117e-04,-3.629756269371523087e-06
1.020000000000000000e+02,3.466027520985639284e-04,-3.702349014045724777e-06
1.040000000000000000e+02,3.466019686475443743e-04,-3.774940857611988859e-06
1.060000000000000000e+02,3.466011704410269984e-04,-3.847533067862472450e-06
1.080000000000000000e+02,3.466003569440446021e-04,-3.920124844300517842e-06
1.100000000000000000e+02,3.465995283243266767e-04,-3.992716587730369447e-06
1.120000000000000000e+02,3.465986845144300465e-04,-4.065308115611405920e-06
1.140000000000000000e+02,3.465978252060050659e-04,-4.137899074693698428e-06
1.160000000000000000e+02,3.465969511742092338e-04,-4.210490539924292783e-06
1.180000000000000000e+02,3.465960617221420592e-04,-4.283081587221943737e-06
1.200000000000000000e+02,1.106390602183785813e+04,-1.985285620168135210e+04
1.220000000000000000e+02,3.465942372367314893e-04,-4.428263171557864307e-06
1.240000000000000000e+02,3.465933021512307053e-04,-4.500853437248762505e-06
1.260000000000000000e+02,3.465923519282205112e-04,-4.573443513076412425e-06
1.280000000000000000e+02,3.465913864954230030e-04,-4.646033790735741325e-06
1.300000000000000000e+02,3.465904057435078840e-04,-4.718623650230171087e-06
1.320000000000000000e+02,3.465894103024789075e-04,-4.791213819917140398e-06
1.340000000000000000e+02,3.465883988904957711e-04,-4.863802650434719332e-06
1.360000000000000000e+02,3.465873725906055383e-04,-4.936392006577732253e-06
1.380000000000000000e+02,3.465863310918739881e-04,-5.008980710241878237e-06
1.400000000000000000e+02,3.465852745058258422e-04,-5.081569649486633231e-06
1.420000000000000000e+02,3.465842026780417088e-04,-5.154158156320779813e-06
1.440000000000000000e+02,3.465831154472099771e-04,-5.226746079324667985e-06
1.460000000000000000e+02,3.465820133502321167e-04,-5.299334498352053804e-06
1.480000000000000000e+02,3.465808961788753909e-04,-5.371922549197598948e-06
1.500000000000000000e+02,4.904578633904224262e+03,-2.152617758259252150e+04
1.520000000000000000e+02,3.465786151201333243e-04,-5.517097363127560561e-06
1.540000000000000000e+02,3.465774516435566862e-04,-5.589684575198728840e-06
1.560000000000000000e+02,3.465762737620741232e-04,-5.662271299365212813e-06
1.580000000000000000e+02,3.465750802158002104e-04,-5.734858026220041295e-06
1.600000000000000000e+02,3.465738715081874790e-04,-5.807444414775755170e-06
1.620000000000000000e+02,3.465726476919339010e-04,-5.880030959485851107e-06
1.640000000000000000e+02,3.465714086358832684e-04,-5.952616339597500068e-06
1.660000000000000000e+02,3.465701541709474221e-04,-6.025202040225790313e-06
1.680000000000000000e+02,3.465688846996573436e-04,-6.097787338382345487e-06
1.700000000000000000e+02,3.465676000854970174e-04,-6.170372405560755285e-06
1.720000000000000000e+02,3.465663000368963444e-04,-6.242957325192221717e-06
1.740000000000000000e+02,3.465649849024818340e-04,-6.315541358418847020e-06
1.760000000000000000e+02,3.465636548039802796e-04,-6.388126021808023832e-06
1.780000000000000000e+02,3.465623091760978839e-04,-6.460709898528030117e-06
1.800000000000000000e+02,-1.399627303294615558e+03,-2.105296712804289928e+04
1.820000000000000000e+02,3.465595719985747804e-04,-6.605877530830017911e-06
1.840000000000000000e+02,3.465581812480206182e-04,-6.678460299195024010e-06
1.860000000000000000e+02,3.465567748534734106e-04,-6.751043006110142843e-06
1.880000000000000000e+02,3.465553532839381464e-04,-6.823625860276626119e-06
1.900000000000000000e+02,3.465539166419144860e-04,-6.896207894070102332e-06
1.920000000000000000e+02,3.465524647224734194e-04,-6.968789810809554466e-06
1.940000000000000000e+02,3.465509976680896829e-04,-7.041371485815512992e-06
1.960000000000000000e+02,3.465495152760206146e-04,-7.113952806819011509e-06
1.980000000000000000e+02,3.465480176331917441e-04,-7.186533415086122410e-06
2.000000000000000000e+02,3.465465049580277964e-04,-7.259114425414727455e-06
