          Material;  ID; Density [kg/m³]; Young modulus [GPa]; Poisson ratio [-]; Color;
             steel;   1;            7850;                 210;               0.3; [0,0,255];
   stainless_steel;   2;            7750;                 193;              0.31; [255,255,0];
    Ni-Co-Cr_steel;   3;            8220;                 212;             0.315; [0,255,255];
    Ni-Cr-Mo_steel;   4;            7850;                 200;              0.29; [255,96,208];
         cast_iron;   5;            7200;                 110;              0.28; [152,80,60];
          aluminum;   6;            2770;                  71;              0.33; [0,255,0];
             brass;   7;            8150;                  96;             0.345; [234,10,142];
            copper;   8;            8300;                 110;              0.34; [255,0,0];
            bronze;   9;            8810;                  80;             0.345; [255,60,16];
          concrete;  10;            2300;                  30;              0.18; [128,128,128];
              test;  11;            3500;                 150;               0.3; [153,102,255];
